"","x01","x18l","x18r","x19","x36l","x36r","sum_dep","y01","y18l","y18r","y19","y36l","y36r","sum_arr","sum_per60","dep_prop_01","dep_prop_36l","dep_prop_36r","dep_prop_19","dep_prop_18r","dep_prop_18l","arr_prop_01","arr_prop_36l","arr_prop_36r","arr_prop_19","arr_prop_18r","arr_prop_18l"
"1",0,0,0,0,1,5,6,0,0,0,0,11,12,23,29,0,0.0344827586206897,0.172413793103448,0,0,0,0,0.379310344827586,0.413793103448276,0,0,0
"2",0,0,0,0,1,7,8,0,0,0,0,6,4,10,18,0,0.0555555555555556,0.388888888888889,0,0,0,0,0.333333333333333,0.222222222222222,0,0,0
"3",0,0,0,0,1,3,4,0,0,0,0,0,1,1,5,0,0.2,0.6,0,0,0,0,0,0.2,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"5",0,0,0,0,1,1,2,0,0,0,0,1,3,4,6,0,0.166666666666667,0.166666666666667,0,0,0,0,0.166666666666667,0.5,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,1,0,0,0
"7",4,0,0,0,6,5,15,2,0,0,0,0,5,7,22,0.181818181818182,0.272727272727273,0.227272727272727,0,0,0,0.0909090909090909,0,0.227272727272727,0,0,0
"8",14,0,0,0,13,24,51,2,0,0,0,0,0,2,53,0.264150943396226,0.245283018867925,0.452830188679245,0,0,0,0.0377358490566038,0,0,0,0,0
"9",17,0,0,0,20,30,67,6,0,0,0,3,1,10,77,0.220779220779221,0.25974025974026,0.38961038961039,0,0,0,0.0779220779220779,0.038961038961039,0.012987012987013,0,0,0
"10",15,0,0,0,16,21,52,8,0,0,0,12,6,26,78,0.192307692307692,0.205128205128205,0.269230769230769,0,0,0,0.102564102564103,0.153846153846154,0.0769230769230769,0,0,0
"11",3,0,0,0,7,23,33,19,0,0,0,17,8,44,77,0.038961038961039,0.0909090909090909,0.298701298701299,0,0,0,0.246753246753247,0.220779220779221,0.103896103896104,0,0,0
"12",13,0,0,0,9,23,45,18,0,0,0,17,3,38,83,0.156626506024096,0.108433734939759,0.27710843373494,0,0,0,0.216867469879518,0.204819277108434,0.036144578313253,0,0,0
"13",8,0,0,0,9,21,38,17,0,0,0,12,8,37,75,0.106666666666667,0.12,0.28,0,0,0,0.226666666666667,0.16,0.106666666666667,0,0,0
"14",12,0,0,0,11,19,42,15,0,0,0,11,10,36,78,0.153846153846154,0.141025641025641,0.243589743589744,0,0,0,0.192307692307692,0.141025641025641,0.128205128205128,0,0,0
"15",18,0,0,0,9,18,45,16,0,0,0,14,12,42,87,0.206896551724138,0.103448275862069,0.206896551724138,0,0,0,0.183908045977011,0.160919540229885,0.137931034482759,0,0,0
"16",14,0,0,0,11,11,36,19,0,0,0,17,15,51,87,0.160919540229885,0.126436781609195,0.126436781609195,0,0,0,0.218390804597701,0.195402298850575,0.172413793103448,0,0,0
"17",13,0,0,0,7,25,45,17,0,0,0,18,8,43,88,0.147727272727273,0.0795454545454545,0.284090909090909,0,0,0,0.193181818181818,0.204545454545455,0.0909090909090909,0,0,0
"18",12,0,0,0,7,19,38,16,0,0,0,16,6,38,76,0.157894736842105,0.0921052631578947,0.25,0,0,0,0.210526315789474,0.210526315789474,0.0789473684210526,0,0,0
"19",6,0,0,0,3,18,27,24,0,0,0,18,2,44,71,0.0845070422535211,0.0422535211267606,0.253521126760563,0,0,0,0.338028169014085,0.253521126760563,0.028169014084507,0,0,0
"20",4,0,0,0,10,19,33,17,0,0,0,14,10,41,74,0.0540540540540541,0.135135135135135,0.256756756756757,0,0,0,0.22972972972973,0.189189189189189,0.135135135135135,0,0,0
"21",11,0,0,0,9,13,33,19,0,0,0,11,8,38,71,0.154929577464789,0.126760563380282,0.183098591549296,0,0,0,0.267605633802817,0.154929577464789,0.112676056338028,0,0,0
"22",1,0,0,0,8,17,26,15,0,0,0,11,8,34,60,0.0166666666666667,0.133333333333333,0.283333333333333,0,0,0,0.25,0.183333333333333,0.133333333333333,0,0,0
"23",2,0,0,0,3,6,11,20,0,0,0,14,8,42,53,0.0377358490566038,0.0566037735849057,0.113207547169811,0,0,0,0.377358490566038,0.264150943396226,0.150943396226415,0,0,0
"24",1,0,0,0,1,3,5,6,0,0,0,17,13,36,41,0.024390243902439,0.024390243902439,0.0731707317073171,0,0,0,0.146341463414634,0.414634146341463,0.317073170731707,0,0,0
"25",0,0,0,0,0,4,4,0,0,0,0,15,16,31,35,0,0,0.114285714285714,0,0,0,0,0.428571428571429,0.457142857142857,0,0,0
"26",0,0,0,0,0,8,8,0,0,0,0,5,4,9,17,0,0,0.470588235294118,0,0,0,0,0.294117647058824,0.235294117647059,0,0,0
"27",0,0,0,0,0,5,5,0,0,0,0,2,3,5,10,0,0,0.5,0,0,0,0,0.2,0.3,0,0,0
"28",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,2,2,0,0,0,0,0,4,4,6,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,1,0,0,0
"31",4,0,0,0,7,5,16,1,0,0,0,1,5,7,23,0.173913043478261,0.304347826086957,0.217391304347826,0,0,0,0.0434782608695652,0.0434782608695652,0.217391304347826,0,0,0
"32",12,0,0,0,14,28,54,1,0,0,0,0,2,3,57,0.210526315789474,0.245614035087719,0.491228070175439,0,0,0,0.0175438596491228,0,0.0350877192982456,0,0,0
"33",16,0,0,0,21,30,67,5,0,0,0,3,0,8,75,0.213333333333333,0.28,0.4,0,0,0,0.0666666666666667,0.04,0,0,0,0
"34",13,0,0,0,15,25,53,11,0,0,0,13,0,24,77,0.168831168831169,0.194805194805195,0.324675324675325,0,0,0,0.142857142857143,0.168831168831169,0,0,0,0
"35",8,0,0,0,5,21,34,19,0,0,0,16,8,43,77,0.103896103896104,0.0649350649350649,0.272727272727273,0,0,0,0.246753246753247,0.207792207792208,0.103896103896104,0,0,0
"36",13,0,0,0,10,24,47,16,0,0,0,16,6,38,85,0.152941176470588,0.117647058823529,0.282352941176471,0,0,0,0.188235294117647,0.188235294117647,0.0705882352941176,0,0,0
"37",8,0,0,0,6,25,39,20,0,0,0,16,4,40,79,0.10126582278481,0.0759493670886076,0.316455696202532,0,0,0,0.253164556962025,0.20253164556962,0.0506329113924051,0,0,0
"38",12,0,0,0,14,22,48,17,0,0,0,15,5,37,85,0.141176470588235,0.164705882352941,0.258823529411765,0,0,0,0.2,0.176470588235294,0.0588235294117647,0,0,0
"39",12,0,0,0,10,19,41,17,0,0,0,12,10,39,80,0.15,0.125,0.2375,0,0,0,0.2125,0.15,0.125,0,0,0
"40",10,0,0,0,11,17,38,21,0,0,0,13,12,46,84,0.119047619047619,0.130952380952381,0.202380952380952,0,0,0,0.25,0.154761904761905,0.142857142857143,0,0,0
"41",14,0,0,0,6,18,38,18,0,0,0,19,12,49,87,0.160919540229885,0.0689655172413793,0.206896551724138,0,0,0,0.206896551724138,0.218390804597701,0.137931034482759,0,0,0
"42",12,0,0,0,14,11,37,18,0,0,0,11,17,46,83,0.144578313253012,0.168674698795181,0.132530120481928,0,0,0,0.216867469879518,0.132530120481928,0.204819277108434,0,0,0
"43",10,0,0,0,10,17,37,19,0,0,0,16,13,48,85,0.117647058823529,0.117647058823529,0.2,0,0,0,0.223529411764706,0.188235294117647,0.152941176470588,0,0,0
"44",11,0,0,0,6,23,40,13,0,0,0,16,10,39,79,0.139240506329114,0.0759493670886076,0.291139240506329,0,0,0,0.164556962025316,0.20253164556962,0.126582278481013,0,0,0
"45",13,0,0,0,13,16,42,17,0,0,0,12,12,41,83,0.156626506024096,0.156626506024096,0.192771084337349,0,0,0,0.204819277108434,0.144578313253012,0.144578313253012,0,0,0
"46",3,0,0,0,8,20,31,12,0,0,0,14,10,36,67,0.0447761194029851,0.119402985074627,0.298507462686567,0,0,0,0.17910447761194,0.208955223880597,0.149253731343284,0,0,0
"47",7,0,0,0,4,5,16,16,0,0,0,14,16,46,62,0.112903225806452,0.0645161290322581,0.0806451612903226,0,0,0,0.258064516129032,0.225806451612903,0.258064516129032,0,0,0
"48",4,0,0,0,1,2,7,6,0,0,0,11,15,32,39,0.102564102564103,0.0256410256410256,0.0512820512820513,0,0,0,0.153846153846154,0.282051282051282,0.384615384615385,0,0,0
"49",0,0,0,0,1,4,5,0,0,0,0,21,19,40,45,0,0.0222222222222222,0.0888888888888889,0,0,0,0,0.466666666666667,0.422222222222222,0,0,0
"50",0,0,0,0,2,6,8,0,0,0,0,3,6,9,17,0,0.117647058823529,0.352941176470588,0,0,0,0,0.176470588235294,0.352941176470588,0,0,0
"51",0,0,0,0,1,1,2,0,0,0,0,4,2,6,8,0,0.125,0.125,0,0,0,0,0.5,0.25,0,0,0
"52",0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"53",0,0,0,0,0,1,1,0,0,0,0,2,5,7,8,0,0,0.125,0,0,0,0,0.25,0.625,0,0,0
"54",0,0,0,0,0,1,1,0,0,0,0,2,4,6,7,0,0,0.142857142857143,0,0,0,0,0.285714285714286,0.571428571428571,0,0,0
"55",4,0,0,0,7,11,22,1,0,0,0,1,6,8,30,0.133333333333333,0.233333333333333,0.366666666666667,0,0,0,0.0333333333333333,0.0333333333333333,0.2,0,0,0
"56",16,0,0,0,19,26,61,2,0,0,0,2,0,4,65,0.246153846153846,0.292307692307692,0.4,0,0,0,0.0307692307692308,0.0307692307692308,0,0,0,0
"57",19,0,0,0,23,30,72,8,0,0,0,4,0,12,84,0.226190476190476,0.273809523809524,0.357142857142857,0,0,0,0.0952380952380952,0.0476190476190476,0,0,0,0
"58",17,0,0,0,14,25,56,11,0,0,0,14,3,28,84,0.202380952380952,0.166666666666667,0.297619047619048,0,0,0,0.130952380952381,0.166666666666667,0.0357142857142857,0,0,0
"59",5,0,0,0,10,16,31,17,0,0,0,12,14,43,74,0.0675675675675676,0.135135135135135,0.216216216216216,0,0,0,0.22972972972973,0.162162162162162,0.189189189189189,0,0,0
"60",12,0,0,0,7,27,46,21,0,0,0,16,6,43,89,0.134831460674157,0.0786516853932584,0.303370786516854,0,0,0,0.235955056179775,0.179775280898876,0.0674157303370786,0,0,0
"61",16,0,0,0,9,20,45,16,0,0,0,15,9,40,85,0.188235294117647,0.105882352941176,0.235294117647059,0,0,0,0.188235294117647,0.176470588235294,0.105882352941176,0,0,0
"62",10,0,0,0,14,16,40,14,0,0,0,14,10,38,78,0.128205128205128,0.179487179487179,0.205128205128205,0,0,0,0.179487179487179,0.179487179487179,0.128205128205128,0,0,0
"63",13,0,0,0,4,27,44,21,0,0,0,15,5,41,85,0.152941176470588,0.0470588235294118,0.317647058823529,0,0,0,0.247058823529412,0.176470588235294,0.0588235294117647,0,0,0
"64",8,0,0,0,12,14,34,22,0,0,0,13,14,49,83,0.0963855421686747,0.144578313253012,0.168674698795181,0,0,0,0.265060240963855,0.156626506024096,0.168674698795181,0,0,0
"65",16,0,0,0,6,22,44,20,0,0,0,19,10,49,93,0.172043010752688,0.0645161290322581,0.236559139784946,0,0,0,0.21505376344086,0.204301075268817,0.10752688172043,0,0,0
"66",15,0,0,0,13,23,51,14,0,0,0,13,8,35,86,0.174418604651163,0.151162790697674,0.267441860465116,0,0,0,0.162790697674419,0.151162790697674,0.0930232558139535,0,0,0
"67",8,0,0,0,6,16,30,17,0,0,0,14,11,42,72,0.111111111111111,0.0833333333333333,0.222222222222222,0,0,0,0.236111111111111,0.194444444444444,0.152777777777778,0,0,0
"68",7,0,0,0,5,26,38,18,0,0,0,20,8,46,84,0.0833333333333333,0.0595238095238095,0.30952380952381,0,0,0,0.214285714285714,0.238095238095238,0.0952380952380952,0,0,0
"69",13,0,0,0,13,17,43,17,0,0,0,14,11,42,85,0.152941176470588,0.152941176470588,0.2,0,0,0,0.2,0.164705882352941,0.129411764705882,0,0,0
"70",2,0,0,0,10,20,32,19,0,0,0,15,9,43,75,0.0266666666666667,0.133333333333333,0.266666666666667,0,0,0,0.253333333333333,0.2,0.12,0,0,0
"71",4,0,0,0,10,11,25,20,0,0,0,18,17,55,80,0.05,0.125,0.1375,0,0,0,0.25,0.225,0.2125,0,0,0
"72",4,0,0,0,0,3,7,7,0,0,0,17,15,39,46,0.0869565217391304,0,0.0652173913043478,0,0,0,0.152173913043478,0.369565217391304,0.326086956521739,0,0,0
"73",3,0,0,0,1,1,5,0,0,0,0,22,23,45,50,0.06,0.02,0.02,0,0,0,0,0.44,0.46,0,0,0
"74",0,0,0,0,0,7,7,0,0,0,0,0,11,11,18,0,0,0.388888888888889,0,0,0,0,0,0.611111111111111,0,0,0
"75",0,0,0,0,0,3,3,0,0,0,0,0,1,1,4,0,0,0.75,0,0,0,0,0,0.25,0,0,0
"76",0,0,0,0,0,2,2,0,0,0,0,0,1,1,3,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0
"77",0,0,0,0,0,1,1,0,0,0,0,0,4,4,5,0,0,0.2,0,0,0,0,0,0.8,0,0,0
"78",0,0,0,0,0,1,1,0,0,0,0,0,6,6,7,0,0,0.142857142857143,0,0,0,0,0,0.857142857142857,0,0,0
"79",3,0,0,0,7,8,18,0,0,0,0,0,5,5,23,0.130434782608696,0.304347826086957,0.347826086956522,0,0,0,0,0,0.217391304347826,0,0,0
"80",14,0,0,0,14,32,60,2,0,0,0,1,0,3,63,0.222222222222222,0.222222222222222,0.507936507936508,0,0,0,0.0317460317460317,0.0158730158730159,0,0,0,0
"81",17,0,0,0,21,32,70,5,0,0,0,2,1,8,78,0.217948717948718,0.269230769230769,0.41025641025641,0,0,0,0.0641025641025641,0.0256410256410256,0.0128205128205128,0,0,0
"82",14,0,0,0,17,25,56,14,0,0,0,14,4,32,88,0.159090909090909,0.193181818181818,0.284090909090909,0,0,0,0.159090909090909,0.159090909090909,0.0454545454545455,0,0,0
"83",5,0,0,0,7,15,27,19,0,0,0,16,14,49,76,0.0657894736842105,0.0921052631578947,0.197368421052632,0,0,0,0.25,0.210526315789474,0.184210526315789,0,0,0
"84",17,0,0,0,9,21,47,19,0,0,0,15,7,41,88,0.193181818181818,0.102272727272727,0.238636363636364,0,0,0,0.215909090909091,0.170454545454545,0.0795454545454545,0,0,0
"85",10,0,0,0,6,23,39,18,0,0,0,17,8,43,82,0.121951219512195,0.0731707317073171,0.280487804878049,0,0,0,0.219512195121951,0.207317073170732,0.0975609756097561,0,0,0
"86",8,0,0,0,14,21,43,20,0,0,0,13,5,38,81,0.0987654320987654,0.172839506172839,0.259259259259259,0,0,0,0.246913580246914,0.160493827160494,0.0617283950617284,0,0,0
"87",15,0,0,0,7,26,48,21,0,0,0,16,7,44,92,0.16304347826087,0.0760869565217391,0.282608695652174,0,0,0,0.228260869565217,0.173913043478261,0.0760869565217391,0,0,0
"88",9,0,0,0,14,16,39,19,0,0,0,14,10,43,82,0.109756097560976,0.170731707317073,0.195121951219512,0,0,0,0.231707317073171,0.170731707317073,0.121951219512195,0,0,0
"89",12,0,0,0,6,20,38,24,0,0,0,20,9,53,91,0.131868131868132,0.0659340659340659,0.21978021978022,0,0,0,0.263736263736264,0.21978021978022,0.0989010989010989,0,0,0
"90",17,0,0,0,13,25,55,17,0,0,0,14,5,36,91,0.186813186813187,0.142857142857143,0.274725274725275,0,0,0,0.186813186813187,0.153846153846154,0.0549450549450549,0,0,0
"91",8,0,0,0,7,23,38,21,0,0,0,20,8,49,87,0.0919540229885057,0.0804597701149425,0.264367816091954,0,0,0,0.241379310344828,0.229885057471264,0.0919540229885057,0,0,0
"92",11,0,0,0,8,23,42,15,0,0,0,17,8,40,82,0.134146341463415,0.0975609756097561,0.280487804878049,0,0,0,0.182926829268293,0.207317073170732,0.0975609756097561,0,0,0
"93",13,0,0,0,12,20,45,19,0,0,0,19,9,47,92,0.141304347826087,0.130434782608696,0.217391304347826,0,0,0,0.206521739130435,0.206521739130435,0.0978260869565217,0,0,0
"94",2,0,0,0,10,17,29,18,0,0,0,12,10,40,69,0.0289855072463768,0.144927536231884,0.246376811594203,0,0,0,0.260869565217391,0.173913043478261,0.144927536231884,0,0,0
"95",4,0,0,0,6,10,20,22,0,0,0,20,17,59,79,0.0506329113924051,0.0759493670886076,0.126582278481013,0,0,0,0.278481012658228,0.253164556962025,0.215189873417722,0,0,0
"96",9,0,0,0,3,3,15,11,0,0,0,17,20,48,63,0.142857142857143,0.0476190476190476,0.0476190476190476,0,0,0,0.174603174603175,0.26984126984127,0.317460317460317,0,0,0
"97",2,0,0,0,2,1,5,0,0,0,0,21,25,46,51,0.0392156862745098,0.0392156862745098,0.0196078431372549,0,0,0,0,0.411764705882353,0.490196078431373,0,0,0
"98",0,0,0,0,0,8,8,0,0,0,0,0,10,10,18,0,0,0.444444444444444,0,0,0,0,0,0.555555555555556,0,0,0
"99",0,0,0,0,0,6,6,0,0,0,0,0,3,3,9,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0
"101",0,0,0,0,0,2,2,0,0,0,0,0,3,3,5,0,0,0.4,0,0,0,0,0,0.6,0,0,0
"102",0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0
"103",6,0,0,0,8,8,22,0,0,0,0,0,8,8,30,0.2,0.266666666666667,0.266666666666667,0,0,0,0,0,0.266666666666667,0,0,0
"104",14,0,0,0,20,31,65,1,0,0,0,3,0,4,69,0.202898550724638,0.289855072463768,0.449275362318841,0,0,0,0.0144927536231884,0.0434782608695652,0,0,0,0
"105",16,0,0,0,26,31,73,7,0,0,0,3,0,10,83,0.192771084337349,0.313253012048193,0.373493975903614,0,0,0,0.0843373493975904,0.036144578313253,0,0,0,0
"106",20,0,0,0,14,24,58,11,0,0,0,14,4,29,87,0.229885057471264,0.160919540229885,0.275862068965517,0,0,0,0.126436781609195,0.160919540229885,0.0459770114942529,0,0,0
"107",5,0,0,0,10,12,27,19,0,0,0,22,14,55,82,0.0609756097560976,0.121951219512195,0.146341463414634,0,0,0,0.231707317073171,0.268292682926829,0.170731707317073,0,0,0
"108",16,0,0,0,8,28,52,17,0,0,0,19,5,41,93,0.172043010752688,0.0860215053763441,0.301075268817204,0,0,0,0.182795698924731,0.204301075268817,0.0537634408602151,0,0,0
"109",14,0,0,0,13,18,45,18,0,0,0,18,10,46,91,0.153846153846154,0.142857142857143,0.197802197802198,0,0,0,0.197802197802198,0.197802197802198,0.10989010989011,0,0,0
"110",14,0,0,0,12,17,43,16,0,0,0,12,12,40,83,0.168674698795181,0.144578313253012,0.204819277108434,0,0,0,0.192771084337349,0.144578313253012,0.144578313253012,0,0,0
"111",15,0,0,0,10,24,49,18,0,0,0,14,11,43,92,0.16304347826087,0.108695652173913,0.260869565217391,0,0,0,0.195652173913043,0.152173913043478,0.119565217391304,0,0,0
"112",13,0,0,0,9,11,33,17,0,0,0,19,17,53,86,0.151162790697674,0.104651162790698,0.127906976744186,0,0,0,0.197674418604651,0.22093023255814,0.197674418604651,0,0,0
"113",17,0,0,0,9,23,49,19,0,0,0,20,8,47,96,0.177083333333333,0.09375,0.239583333333333,0,0,0,0.197916666666667,0.208333333333333,0.0833333333333333,0,0,0
"114",17,0,0,0,13,23,53,18,0,0,0,13,9,40,93,0.182795698924731,0.139784946236559,0.247311827956989,0,0,0,0.193548387096774,0.139784946236559,0.0967741935483871,0,0,0
"115",11,0,0,0,12,18,41,19,0,0,0,19,11,49,90,0.122222222222222,0.133333333333333,0.2,0,0,0,0.211111111111111,0.211111111111111,0.122222222222222,0,0,0
"116",7,0,0,0,7,23,37,16,0,0,0,17,12,45,82,0.0853658536585366,0.0853658536585366,0.280487804878049,0,0,0,0.195121951219512,0.207317073170732,0.146341463414634,0,0,0
"117",14,0,0,0,12,23,49,18,0,0,0,15,9,42,91,0.153846153846154,0.131868131868132,0.252747252747253,0,0,0,0.197802197802198,0.164835164835165,0.0989010989010989,0,0,0
"118",6,0,0,0,9,15,30,19,0,0,0,18,11,48,78,0.0769230769230769,0.115384615384615,0.192307692307692,0,0,0,0.243589743589744,0.230769230769231,0.141025641025641,0,0,0
"119",6,0,0,0,8,14,28,19,0,0,0,19,13,51,79,0.0759493670886076,0.10126582278481,0.177215189873418,0,0,0,0.240506329113924,0.240506329113924,0.164556962025316,0,0,0
"120",1,0,0,0,3,4,8,9,0,0,0,17,20,46,54,0.0185185185185185,0.0555555555555556,0.0740740740740741,0,0,0,0.166666666666667,0.314814814814815,0.37037037037037,0,0,0
"121",0,0,0,0,0,3,3,0,0,0,0,23,26,49,52,0,0,0.0576923076923077,0,0,0,0,0.442307692307692,0.5,0,0,0
"122",0,0,0,0,3,9,12,0,0,0,0,4,10,14,26,0,0.115384615384615,0.346153846153846,0,0,0,0,0.153846153846154,0.384615384615385,0,0,0
"123",0,0,0,0,2,4,6,0,0,0,0,4,4,8,14,0,0.142857142857143,0.285714285714286,0,0,0,0,0.285714285714286,0.285714285714286,0,0,0
"124",0,0,0,0,1,0,1,0,0,0,0,1,3,4,5,0,0.2,0,0,0,0,0,0.2,0.6,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,0,0,0,0,0,0,0.25,0.75,0,0,0
"126",0,0,0,0,0,1,1,0,0,0,0,2,6,8,9,0,0,0.111111111111111,0,0,0,0,0.222222222222222,0.666666666666667,0,0,0
"127",6,0,0,0,7,8,21,0,0,0,0,0,6,6,27,0.222222222222222,0.259259259259259,0.296296296296296,0,0,0,0,0,0.222222222222222,0,0,0
"128",11,0,0,0,19,32,62,2,0,0,0,2,0,4,66,0.166666666666667,0.287878787878788,0.484848484848485,0,0,0,0.0303030303030303,0.0303030303030303,0,0,0,0
"129",24,0,0,0,20,32,76,5,0,0,0,4,0,9,85,0.282352941176471,0.235294117647059,0.376470588235294,0,0,0,0.0588235294117647,0.0470588235294118,0,0,0,0
"130",16,0,0,0,16,21,53,16,0,0,0,11,5,32,85,0.188235294117647,0.188235294117647,0.247058823529412,0,0,0,0.188235294117647,0.129411764705882,0.0588235294117647,0,0,0
"131",9,0,0,0,8,11,28,18,0,0,0,18,17,53,81,0.111111111111111,0.0987654320987654,0.135802469135802,0,0,0,0.222222222222222,0.222222222222222,0.209876543209877,0,0,0
"132",12,0,0,0,8,22,42,23,0,0,0,17,9,49,91,0.131868131868132,0.0879120879120879,0.241758241758242,0,0,0,0.252747252747253,0.186813186813187,0.0989010989010989,0,0,0
"133",14,0,0,0,11,32,57,20,0,0,0,16,5,41,98,0.142857142857143,0.112244897959184,0.326530612244898,0,0,0,0.204081632653061,0.163265306122449,0.0510204081632653,0,0,0
"134",12,0,0,0,12,21,45,19,0,0,0,12,9,40,85,0.141176470588235,0.141176470588235,0.247058823529412,0,0,0,0.223529411764706,0.141176470588235,0.105882352941176,0,0,0
"135",16,0,0,0,8,20,44,19,0,0,0,14,11,44,88,0.181818181818182,0.0909090909090909,0.227272727272727,0,0,0,0.215909090909091,0.159090909090909,0.125,0,0,0
